Feature1,Feature2,Class,is_outlier
28.45262851900178,15659.499696255452,0,False
17.670313147295836,14652.352833966374,0,False
20.16410081839292,11823.503087219211,0,False
22.03758141498254,15515.945670085715,0,False
16.055384856871306,16865.499386236785,0,False
20.010327864529742,14703.465952117573,0,False
19.995548070710342,14859.089749487099,0,False
11.226378468272896,17785.85463385864,0,False
25.088290028317466,12500.572859599168,0,False
23.002492579597746,12004.823363145446,0,False
16.8728551301662,13691.921710839695,0,False
19.142258694021393,12606.754427858406,0,False
22.52649687098376,17692.578552919174,0,False
18.693217924041765,15619.378235069038,0,False
18.786254606637268,13271.813791651042,0,False
12.733792937546047,13771.041673039486,0,False
22.772901559459438,20722.134381445518,0,False
20.619404526435194,13779.819907813244,0,False
21.37229961879982,13475.950664897387,0,False
12.3673773406508,15608.614339857751,0,False
28.253498455932377,16276.504919348994,0,False
20.77167767728179,15443.363677148945,0,False
18.06430028356806,13182.748267053228,0,False
30.14536110380556,12681.62585987221,0,False
19.77306985069677,16192.28110649657,0,False
12.746606504267126,14891.61962795491,0,False
17.973860722861566,11717.134059522761,0,False
8.558424490141388,17342.001986668147,0,False
25.246982746716274,16550.658021020987,0,False
17.917628407399906,14518.09156778873,0,False
16.28723237397716,14479.47215464625,0,False
25.362350657877478,15462.919576785007,0,False
11.744622052970806,13625.98151321946,0,False
22.677146781630455,12303.375079680147,0,False
9.677925984394122,15645.035513317585,0,False
16.689203301665955,12121.82685757349,0,False
13.978900772001337,15781.453606578125,0,False
27.30987813606762,12117.585062298123,0,False
28.83080438964667,14801.581539414392,0,False
18.352931240434675,14728.71092288963,0,False
24.203666210717678,18565.25851928211,0,False
19.10006799373825,12871.23338083216,0,False
22.84030943663991,12170.10836248536,0,False
16.235814017892675,13707.64538845437,0,False
11.45830398416472,12752.535147091856,0,False
10.984506707601295,13820.475067835472,0,False
21.91560925878756,15841.601957549285,0,False
31.237975264038496,16543.9548580047,0,False
21.347058152539436,18319.122551934157,0,False
17.37697690299574,13526.651656840466,0,False
29.560094311659704,20277.077604000995,0,False
21.186509233185966,18964.3706609691,0,False
20.507169926058076,14592.946399899463,0,False
21.262888677776587,10417.160041810388,0,False
19.338114012165764,14833.775388230784,0,False
18.452618297055597,15145.01536727006,0,False
12.82518266982223,10401.502244181595,0,False
22.508120615905206,15147.663715149884,0,False
19.526122747800528,14599.691474346568,0,False
25.965429611720054,13428.577431100623,0,False
18.155907657760768,16253.258395660943,0,False
10.46815060734766,17010.69676025447,0,False
19.501946840525676,14027.645549868612,0,False
28.497686483733403,15458.959521091956,0,False
18.08288438534244,13690.416265840067,0,False
15.550715694896253,13426.78895362278,0,False
14.032040388709085,15158.99344113999,0,False
14.749915944623133,16046.843118139263,0,False
18.499031315999186,13873.414282557316,0,False
14.100089532708974,10572.660476703164,0,False
27.488195577987916,16171.569685368424,0,False
18.5868238196231,11806.884373463725,0,False
20.54324185747365,15243.997246467594,0,False
27.191197603668783,18558.05246244887,0,False
27.516592602084554,14966.340909389875,0,False
18.936335164912197,12620.499990682856,0,False
21.659871077442492,12077.641906763482,0,False
23.6751329218868,17340.92305068834,0,False
19.0357226982511,14966.103008975331,0,False
11.109935735207458,16079.47698388409,0,False
23.27352851851555,16852.603595885932,0,False
24.471761524102664,14901.99541232284,0,False
22.077513071490053,14382.791522725243,0,False
15.382276716433912,13105.304605633264,0,False
19.019863438460174,8834.990468564678,0,False
17.046150905684318,11963.999012077122,0,False
18.50144381336086,14860.81298648654,0,False
26.484425963633363,14649.475967406093,0,False
27.647898166965778,15807.11974611107,0,False
23.347090967048306,14746.626323584063,0,False
22.743725598891647,15318.715024957592,0,False
23.383144947779428,16575.597583281466,0,False
19.938789066967786,13229.910122840518,0,False
19.62168269256467,14425.684201692075,0,False
16.63177406311963,11785.57433637409,0,False
19.720662749749632,16945.785575986276,0,False
31.299734933131305,15076.835841870392,0,False
24.34519664626913,15979.644274263854,0,False
18.289414882865685,18084.966300537908,0,False
17.640366739332393,17159.091690907844,0,False
15.677550042071271,14879.997113962636,0,False
21.871851748687877,16575.370683226145,0,False
21.957728467512904,12136.59177076142,0,False
12.784391714995309,15867.81889267876,0,False
22.43167598620851,15277.820149930947,0,False
17.152638647407514,11763.461981609093,0,False
27.133605783244178,17674.64005587501,0,False
20.784219918520918,13591.845647486438,0,False
28.588650248301178,16366.457439444393,0,False
17.709366035569953,14160.130136819407,0,False
18.560080667396093,16987.085779892215,0,False
21.4990417613495,17624.52352699919,0,False
25.27974149582269,13339.901043858725,0,False
22.82941244313703,11939.202612241328,0,False
13.832380281362186,14737.179900774763,0,False
20.914503508073835,16697.833274054563,0,False
20.1112236927028,14257.375674782534,0,False
17.85465703222004,13772.95283208711,0,False
16.7594735355382,15976.56451223196,0,False
28.737886196743222,9476.96506385922,0,False
18.048067593192183,13670.568853032553,0,False
15.770386814360961,12232.407396991388,0,False
